날짜,요일,역번호,역명,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~
2020-01-01,2,332,양재(서초구청),승차,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,332,양재(서초구청),하차,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2020-01-01,2,333,매봉,승차,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,333,매봉,하차,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2020-01-01,2,334,도곡,승차,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,334,도곡,하차,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2020-01-01,2,335,대치,승차,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,335,대치,하차,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,336,학여울,승차,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,336,학여울,하차,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,337,대청,승차,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,337,대청,하차,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2020-01-01,2,338,일원,승차,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,338,일원,하차,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,339,수서,승차,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,339,수서,하차,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2020-01-01,2,340,가락시장,승차,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,340,가락시장,하차,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-01-01,2,341,경찰병원,승차,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,341,경찰병원,하차,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-01-01,2,342,오금,승차,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,342,오금,하차,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2020-01-01,2,409,당고개,승차,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-01,2,409,당고개,하차,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2020-01-01,2,410,상계,승차,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
